CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	English-Equivalent
>atoqaY_1	>atoqaY_1	pos:adj_comp	pos:noun	more pious
>atoqaY_1	>atoqaY_1	pos:adj_comp	pos:noun	most pious
UNK	takaw~ar_1	UNK	pos:verb	be in harmony
>atolaH_1	>abolad_1	pos:adj_comp	pos:adj_comp	most insensitive
>atolaH_1	UNK	pos:adj_comp	UNK	more impudent
>atolaf_1	>atolaf_1	pos:verb	pos:verb	be ruined;;ruin;;damage;;be damaged
UNK	muTar~az_1	UNK	pos:adj	soft evenly woven material
>atonaH_1	UNK	pos:adj_comp	UNK	more impudent
UNK	tawaj~ah_1	UNK	pos:verb	turn to
UNK	waj~ah_1	UNK	pos:verb	be directed towards
>avAv_1	>avAv_1	pos:noun	pos:noun	furniture
>avAr_1	>avAr_1	pos:verb	pos:verb	be provoked;;raise;;be agitated;;be raised;;agitate;;provoke
>avAr_1	>avAr_1	pos:verb	pos:verb	excite
>atar_1	>avar_1	pos:noun	pos:noun	effect
>avar_1	>avar_1	pos:noun	pos:noun	effect
>avariy~_1	>avariy~_1	pos:adj	pos:adj	ancient
>avariy~_1	>avariy~_1	pos:adj	pos:adj	antiquarian
>avariy~_1	>avariy~_1	pos:adj	pos:adj	antique
UNK	>avol_1	UNK	pos:noun	tamarisk tree
UNK	>aviyr_2	UNK	pos:noun	ether
>aviyr_1	>aviyr_2	pos:noun	pos:noun	ether
>aviyr_2	>aviyr_2	pos:noun	pos:noun	ether
>aviyr_1	>aviyr_1	pos:noun	pos:noun	radio
>aviyr_1	>aviyr_2	pos:noun	pos:noun	radio
>aviyr_2	>aviyr_1	pos:noun	pos:noun	radio
>aviyr_2	>aviyr_2	pos:noun	pos:noun	radio
>aviynA_1	>aviynA_1	pos:noun_prop	pos:noun_prop	Athens
>av~ar_1	>av~ar_1	pos:verb	pos:verb	be affected;;influence;;be influenced;;affect
>av~ar_1	>av~ar_1	pos:verb	pos:verb	influence on
UNK	>av~av_1	UNK	pos:verb	furnish
>atobat_1	>avobat_2	pos:adj_comp	pos:adj_comp	more reliable;;steadier
>avobat_2	>avobat_2	pos:adj_comp	pos:adj_comp	more reliable;;firmer
>avobat_1	>avobat_1	pos:verb	pos:verb	be established;;be ascertained;;establish;;ascertain
>avobat_1	>avobat_1	pos:verb	pos:verb	prove
>atoxan_1	UNK	pos:adj_comp	UNK	thicker
UNK	UNK	UNK	UNK	thicker
>atoram_1	UNK	pos:adj	UNK	hashing
UNK	UNK	UNK	UNK	having missing teeth
UNK	>ahotam_1	UNK	pos:noun	having no front teeth
>avoqAl_1	viqal_1	pos:noun	pos:noun	weights
>atoqal_1	>avoqal_2	pos:adj_comp	pos:adj_comp	heavier;;more oppressive
>atoqal_1	>avoqal_2	pos:adj_comp	pos:adj_comp	most heavy and burdensome
>avoqal_2	>avoqal_2	pos:adj_comp	pos:adj_comp	most heavy and burdensome
>atolap_1	>avolap_1	pos:noun	pos:noun	tamarisk
>atolam_1	>abolad_1	pos:adj_comp	pos:adj_comp	most blunt
>atolam_1	UNK	pos:adj_comp	UNK	furrow
>avonA'a_1	>avonA'a_1	pos:noun	pos:noun	during
AvonA'_1	>avonA'a_1	pos:noun	pos:noun	during
>avonaY_1	>avonaY_1	pos:verb	pos:verb	be praised;;be commended;;praise;;commend
>ajAb_1	>ajAb_1	pos:verb	pos:verb	be complied;;be answered;;answer;;be replied;;reply;;comply
>ajAb_1	>ajAb_1	pos:verb	pos:verb	respond
>ajAb_1	>ad~aY_1	pos:verb	pos:verb	fulfill
>ajAb_1	>ad~aY_2	pos:verb	pos:verb	fulfill
>ajAb_1	>anohaY_1	pos:verb	pos:verb	complete
>ajAb_1	Haq~aq_1	pos:verb	pos:verb	realize
>ajAd_1	>atoqan_1	pos:verb	pos:verb	excel in
>ajAd_1	>ajAd_1	pos:verb	pos:verb	be highly proficient in
>ajAd_1	>ajAd_1	pos:verb	pos:verb	be proficient at;;do well
>ajAd_1	>ajAd_1	pos:verb	pos:verb	do perfectly
>ajAr_1	>ajAr_1	pos:verb	pos:verb	be granted asylum;;be protected;;protect;;grant asylum
>ajAr_1	>ajAr_1	pos:verb	pos:verb	give aid
>ajAr_1	>ajAr_1	pos:verb	pos:verb	help;;rescue
>ajAzap_1	<ijAzap_1	pos:noun	pos:noun	holiday
jawAd_2	UNK	pos:adj	UNK	nobles
jawAd_2	jawAd_2	pos:adj	pos:adj	nobles;;generous people
jawAd_2	$ariyf_2	pos:adj	pos:adj	honorable
jawAd_2	kariym_2	pos:adj	pos:adj	generous people
jawAd_2	nabiyl_1	pos:adj	pos:adj	nobles
jawAd_2	jawAd_2	pos:adj	pos:adj	generous people
jawAd_2	jawAd_2	pos:adj	pos:adj	nobles
jawAd_2	$ariyf_2	pos:adj	pos:adj	righteous
jawAd_2	nabiyl_1	pos:adj	pos:adj	nobles
jawAd_3	UNK	pos:noun	UNK	dignitaries
>ajad~_1	>ajad~_2	pos:adj_comp	pos:adj_comp	newer;;newest
>ajad~_1	>ajad~_3	pos:adj_comp	pos:adj_comp	newer;;newest
>ajad~_2	>ajad~_2	pos:adj_comp	pos:adj_comp	newer;;newest
>ajad~_2	>ajad~_3	pos:adj_comp	pos:adj_comp	newer;;newest
>ajad~_3	>ajad~_2	pos:adj_comp	pos:adj_comp	newer;;newest
>ajad~_3	>ajad~_3	pos:adj_comp	pos:adj_comp	newer;;newest
>ajad~_1	>aHodav_2	pos:adj_comp	pos:adj_comp	newer
>ajad~_2	>aHodav_2	pos:adj_comp	pos:adj_comp	newer
>ajad~_3	>aHodav_2	pos:adj_comp	pos:adj_comp	newer
UNK	$ag~al_1	UNK	pos:verb	operate
UNK	>aja$~_1	UNK	pos:noun	husky voice
>ajaf~_1	UNK	pos:adj_comp	UNK	drier
>ajal_1	>ajal_1	pos:noun	pos:noun	term;;period
>ajal_1	>ajal_1	pos:noun	pos:noun	time of death
>ajal_1	mawoEid_1	pos:noun	pos:noun	appointed time
>ajanap_1	<izomiyl_1	pos:noun	pos:noun	cold chisel
>ajan~_1	UNK	pos:adj_comp	UNK	more insane
>ajanos_1	UNK	pos:noun	UNK	car showroom
UNK	wAsiE_1	UNK	pos:adj	vast
>ajuwj_1	UNK	pos:noun	UNK	_
>ajor_1	UNK	pos:noun	UNK	wages
>ajor_2	UNK	pos:noun	UNK	wages
UNK	UNK	UNK	UNK	perforated
>ajinodap_1	UNK	pos:noun	UNK	notebook
>ajinodap_1	mu*ak~irap_1	pos:noun	pos:noun	diary
>ajinodap_1	UNK	pos:noun	UNK	list of promissory notes
>ajiyr_1	>ajiyr_1	pos:adj	pos:adj	hired worker
>ajiyr_1	>ajiyr_1	pos:noun	pos:noun	laborer;;employee
UNK	UNK	UNK	UNK	interest
>aj~ar_1	>aj~ar_1	pos:verb	pos:verb	be leased;;lease;;be lent;;lend
>aj~ar_1	>aj~ar_1	pos:verb	pos:verb	rent
>aj~ar_1	>aj~ar_1	pos:verb	pos:verb	rent out
>aj~iz_1	UNK	pos:verb	UNK	take leave
>aj~il_1	>aj~al_1	pos:verb	pos:verb	delay
>aj~il_1	>aj~al_1	pos:verb	pos:verb	honor;;respect
>ajobar_1	>ajobar_1	pos:verb	pos:verb	be forced;;be compelled;;force;;compel
>ajoban_1	>ajoban_1	pos:adj_comp	pos:adj_comp	more cowardly
>ajoban_1	>ajoban_1	pos:adj_comp	pos:adj_comp	most cowardly
>ajobiy~ap_1	>ajabiy~ap_1	pos:noun	pos:noun	book of hours
>ajodad_1	UNK	pos:adj_comp	UNK	newer
>ajodad_1	>aHodav_2	pos:adj_comp	pos:adj_comp	newer
>ajodad_1	>aHodav_2	pos:adj_comp	pos:adj_comp	newest
>ajodar_1	>ajodar_2	pos:adj_comp	pos:adj_comp	more appropriate
>ajodar_2	>ajodar_2	pos:adj_comp	pos:adj_comp	more appropriate
>ajodar_1	>ajodar_2	pos:adj_comp	pos:adj_comp	worthiest;;worthier;;more suitable
>ajodar_2	>ajodar_2	pos:adj_comp	pos:adj_comp	worthiest;;worthier;;more suitable
>ajodar_1	>aEoZam_2	pos:adj_comp	pos:adj_comp	more deserving
>ajodar_2	>aEoZam_2	pos:adj_comp	pos:adj_comp	more deserving
>ajodar_1	>anosab_1	pos:adj_comp	pos:adj_comp	most appropriate
>ajodar_2	>anosab_1	pos:adj_comp	pos:adj_comp	most appropriate
>ajodaE_1	UNK	pos:adj_comp	UNK	more chivalrous
>ajodaE_1	>afoDal_2	pos:adj_comp	pos:adj_comp	the best
>ajodaE_1	>anobal_1	pos:adj_comp	pos:adj_comp	the noblest
>ajodaE_1	$ahom_1	pos:adj_comp	pos:noun	better;;best
>ajor_1	>ajor_1	pos:noun	pos:noun	remuneration;;recompense
>ajor_2	>ajor_1	pos:noun	pos:noun	remuneration;;recompense
>ajor_1	>ajor_2	pos:noun	pos:noun	wage
>ajor_2	>ajor_2	pos:noun	pos:noun	wage
>ajora>_1	UNK	pos:adj_comp	UNK	more audacious
>ajora>_1	UNK	pos:adj_comp	UNK	more audacious
>ajora>_1	>a$ojaE_1	pos:adj_comp	pos:adj	more audacious
>ajora>_1	UNK	pos:adj_comp	UNK	more audacious
>ajorab_1	>ajorab_1	pos:adj	pos:adj	faded
>ajorab_1	>ajorab_1	pos:adj	pos:adj	mangy
>ajorab_1	>ajorab_1	pos:adj	pos:adj	washed-out
>ajorab_1	bAliy~_1	pos:adj	pos:adj	washed-out
>ajorab_1	bAhit_1	pos:adj	pos:adj	drab;;of color
>ajorab_1	bAhit_1	pos:adj	pos:adj	washed-out
UNK	UNK	UNK	UNK	become mangy
UNK	UNK	UNK	UNK	become faded
>ajorad_1	>ajorad_1	pos:adj	pos:noun	barren
>ajorad_1	>ajorad_1	pos:adj	pos:noun	beardless
>ajoram_1	>ajoram_1	pos:verb	pos:verb	commit a crime;;sin;;do wrong;;be sinned against;;be done wrong
>ajoram_1	>ajoram_1	pos:verb	pos:verb	indurate;;solidify
>ajoram_1	>ajoram_1	pos:verb	pos:verb	rant
>ajoram_1	>a*onab_1	pos:verb	pos:verb	commit a crime
>ajoram_1	>a*onab_1	pos:verb	pos:verb	do wrong
